//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.858749866	18.940500259	-1.278499961	1.0000000000	21.6599998474	-5.0999999046
-5.867750168	18.939750671	-1.270249963	4.0000000000	20.0400009155	-6.0300002098
-5.869999886	18.941999435	-1.269749999	4.0000000000	22.7600002289	-7.7699999809
-5.872000217	18.942750931	-1.266250014	1.0000000000	22.6800003052	-7.8499999046
-5.868249893	18.942499161	-1.266499996	1.0000000000	20.1800003052	-6.5799999237
-5.860750198	18.938499451	-1.271999955	2.0000000000	21.3700008392	-4.6999998093
-5.858500004	18.938499451	-1.270750046	3.0000000000	21.2900009155	-5.4800000191
-5.861000061	18.937999725	-1.264999986	2.0000000000	20.3799991608	-5.6900000572
-5.860750198	18.942750931	-1.266000032	0.0000000000	17.7800006866	-5.9600000381
-5.859250069	18.940000534	-1.264250040	1.0000000000	21.8199996948	-4.9499998093
-5.875500202	18.941749573	-1.263499975	1.0000000000	17.6599998474	-6.0900001526
-5.876249790	18.940999985	-1.259500027	0.0000000000	19.8700008392	-6.1999998093
-5.882999897	18.943250656	-1.253000021	2.0000000000	19.9200000763	-6.1500000954
-5.876500130	18.940000534	-1.252249956	1.0000000000	19.4899997711	-6.5799999237
-5.874499798	18.943000793	-1.253000021	1.0000000000	17.4099998474	-6.3400001526
-5.868249893	18.937999725	-1.261250019	2.0000000000	20.5900001526	-5.4800000191
-5.869750023	18.941749573	-1.262500048	1.0000000000	22.6100006104	-7.9200000763
-5.868500233	18.942249298	-1.259999990	2.0000000000	20.1100006104	-6.6500000954
-5.869999886	18.941999435	-1.258999944	1.0000000000	22.5599994659	-7.9699997902
-5.860750198	18.937250137	-1.257249951	1.0000000000	21.4300003052	-4.6399998665
-5.860499859	18.942750931	-1.257500052	0.0000000000	21.2399997711	-5.5199999809
-5.866749763	18.939750671	-1.253499985	5.0000000000	21.6200008392	-4.4499998093
-5.868500233	18.940750122	-1.252249956	2.0000000000	20.0400009155	-6.7199997902
-5.868000031	18.940999985	-1.255249977	1.0000000000	22.7800006866	-7.7500000000
